id,city,title,company,money
438,深圳,自动化测试工程师,捷顺科技股份,18000
439,深圳,测试开发工程师(J10361),传易,18000
440,深圳,测试开发工程师,字节跳动,30000
441,深圳,资深测试开发工程师—教育,字节跳动,30000
442,深圳,Shopee卖家平台测试开发工程师,Shopee,30000
443,深圳,测试开发工程师-数字银行,Shopee,30000
444,深圳,自动化测试工程师,武汉佰钧成技术有限责任公司,19000
445,深圳,车联网后台测试开发高级工程师,腾讯,30000
446,深圳,测试开发工程师（智能平台）,腾讯,40000
447,深圳,高级自动化测试工程师,枫叶软件,12500
448,深圳,高级自动化测试工程师,彩讯股份,13500
449,深圳,功能测试开发工程师（驻点）,彩讯股份,10000
450,深圳,KYY-测试开发工程师/高级工程师,顺丰科技有限公司,22500
451,深圳,SZH-测试开发工程师,顺丰科技有限公司,30000
452,深圳,自动化测试工程师,武汉佰钧成技术有限责任公司,11500
453,深圳,测试开发工程师（中级）,松茂科技,15000
454,深圳,自动化测试工程师,维恩贝特,13500
455,深圳,测试开发工程师-美业-深圳,有赞,25000
456,深圳,测试开发工程师（中级）,松茂科技,15000
457,深圳,自动化测试工程师,铱云科技-易订货,18000
458,深圳,自动化测试工程师,维恩贝特,13500
459,深圳,测试开发实习生,即构科技,5500
460,深圳,测试开发工程师(J13010),货拉拉,30000
461,深圳,资深测试开发工程师（深圳）,货拉拉,32500
462,深圳,测试开发工程师,德科信息,15500
463,深圳,自动化测试工程师,厦门唐普,14500
464,深圳,自动化测试工程师,万兴科技集团股份有限公司,20000
465,深圳,测试开发leader（深圳）,阅文集团,37500
466,深圳,C++测试开发工程师(J10051),华锐金融技术,15000
467,深圳,自动化测试工程师,商汤科技,22500
468,深圳,测试开发工程师（金蝶云苍穹）,金蝶,22500
469,深圳,自动化测试工程师,大展信息科技（深圳）有限公司,13000
470,深圳,自动化测试工程师,汇合,13000
471,深圳,自动化测试工程师,印孚瑟斯,14000
472,深圳,JAVA开发岗（测试开发方向）(006323),中信银行信用卡中心,25000
473,深圳,测试开发工程师,亿达信息,11000
474,深圳,测试开发实习生-广告系统（可转正）,字节跳动,6000
475,深圳,测试开发工程师-广告系统,字节跳动,37500
476,深圳,理财通测试开发工程师,腾讯,32500
477,深圳,自动化测试工程师（中级）,松茂科技,12500
478,深圳,车联网后台测试开发高级工程师（深圳）,腾讯,37500
479,深圳,测试开发工程师,深圳宝润兴业,12500
480,深圳,高级自动化测试工程师,武汉佰钧成技术有限责任公司,19000
481,深圳,测试开发工程师,云天励飞,16000
482,深圳,自动化测试工程师 (MJ000149),万兴科技集团股份有限公司,21500
483,深圳,KJC-后台开发工程师(测试开发),微众银行,20000
484,深圳,测试开发工程师,招银网络科技,30000
485,深圳,测试开发工程师,合生科技,15000
486,深圳,测试开发工程师,商汤科技,30000
487,深圳,自动化测试工程师,Crypto.com,27500
488,深圳,测试开发工程师,深圳无内科技有限公司,7500
489,深圳,测试开发工程师,海万科技,13000
490,深圳,测试开发工程师,钻木信息,11500
491,深圳,高级测试开发工程师 — 专项质量方向,字节跳动,30000
492,深圳,资深测试开发工程师 — 创新工具,字节跳动,37500
493,深圳,18425-跨境业务测试开发工程师（深圳）,腾讯,22500
494,深圳,高级测试开发工程师,创梦天地,37500
495,深圳,测试开发工程师（AI算法方向）,声扬科技,15000
496,深圳,测试开发专家,Lazada,30000
497,深圳,测试开发工程师,TCL,22500
498,深圳,测试开发工程师,TCL,22500
499,深圳,自动化测试开发工程师,联龙博通,10500
500,深圳,自动化测试工程师,福州捷科,12000
501,北京,高级测试开发工程师,水滴 WATERDROP INC,30000
502,北京,测试开发工程师,贝壳,37500
503,北京,测试开发工程师,贝壳,30000
504,北京,测试开发工程师,字节跳动,30000
505,北京,高级测试开发工程师,字节跳动,40000
506,北京,测试开发工程师,快手,37500
507,北京,资深测试开发工程师,跟谁学,28500
508,北京,资深测试开发工程师,跟谁学,32500
509,北京,测试开发工程师,快手,37500
510,北京,测试开发工程师,明翰,30000
511,北京,测试开发工程师,中科网安链,12500
512,北京,测试开发,伊澳科技,42500
513,北京,测试开发工程师,动视云科技,16000
514,北京,高级测试开发工程师,北大附中基础教育投资有限公司,15000
515,北京,高级测试开发工程师,希悦,15000
516,北京,高级测试开发工程师,网联,37500
517,北京,高级测试开发工程师,老虎集团,32500
518,北京,高级测试开发工程师,鲸鱼外教培优,22500
519,北京,测试开发工程师,Nox夜神,20000
520,北京,测试开发工程师,马上金融,22500
521,北京,测试开发工程师,玩加电竞,12000
522,北京,测试开发工程师,字节跳动,30000
523,北京,资深测试开发工程师,字节跳动,45000
524,北京,高级测试开发工程师,贝壳,30000
525,北京,资深测试开发工程师,贝壳,30000
526,北京,测试开发工程师,快手,37500
527,北京,测试开发专家,快手,37500
528,北京,资深测试开发工程师,跟谁学,45000
529,北京,资深测试开发（工具方向）,跟谁学,37500
530,北京,测试开发工程师,慧科讯业,25000
531,北京,测试开发工程师,顺丰同城科技,22500
532,北京,测试开发工程师,金山云,32500
533,北京,资深测试开发工程师,FreeWheel,40000
534,北京,测试开发工程师,金山云,32500
535,北京,测试开发工程师,睿帆科技,17500
536,北京,测试开发,睿帆科技,17500
537,北京,高级测试开发工程师,网联,37500
538,北京,测试开发工程师,广州方舟医药有限公司,22500
539,北京,高级测试开发工程师,北大附中基础教育投资有限公司,15000
540,北京,高级测试开发工程师,希悦,15000
541,北京,测试开发工程师,爱学习教育集团,27500
542,北京,测试开发工程师,东华,15000
543,北京,测试开发工程师,区块节点,17500
544,北京,测试开发工程师,小米,34500
545,北京,测试开发工程师,京东集团,25000
546,北京,测试开发工程师,唱吧-玩音乐，就上唱吧！,15000
547,北京,测试开发工程师,币世界,15000
548,北京,测试开发工程师,粉笔网,20000
549,北京,测试开发工程师,字节跳动,25000
550,北京,测试开发工程师,字节跳动,30000
551,北京,资深测试开发工程师,贝壳,32500
552,北京,测试开发工程师,贝壳,30000
553,北京,测试开发工程师-2021校招,跟谁学,15000
554,北京,测试开发工程师-【电商生态】,快手,30000
555,北京,音视频中台测试开发工程师,快手,30000
556,北京,资深测试开发工程师-【共享业务】,跟谁学,30000
557,北京,测试开发工程师,金山云,30000
558,北京,高级测试开发工程师,地坪线,40000
559,北京,测试开发工程师,Nox夜神,12500
560,北京,高级测试开发工程师,北京涛思数据科技有限公司,32500
561,北京,高级测试开发工程师,小米,20000
